Part No,Description,# Models,Fits these models
06455-KCC-842,"PAD SET, FR.",21,"CBF110MA, CBF110MC, CBF110ME, CBF110MSE, CBF1259, CBF125A, CBF125C9, CBF125CA, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF1506, CBF1507, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB"
06455-KPP-902,"PAD SET, FR.",1,CBF150MC
06455-KPP-N01,"PAD SET, FR.",29,"CBF110SG, CBF110SH, CBF110SJ, CBF125BH, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK, CBF150MD, CBF150MH, CBF150MK, CBF160AL, CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, CBF190MAL, CBR150RC, CBR150RG"
06455-KPP-N02,PAD SET. FR...,12,"CB190XN, CB190XR, CB190XS, CBF160AL, CBF160AR, CBF160FSM, CBF160FSR, CBF160FSS, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
06455-KVB-912,"PAD SET, FR. BRAKE",6,"SCV110GFH, SCV110GFK, SCV125H, SCV125K, SCV125SJ, SCV125SK"
06455-KVB-T01,"PAD SET, FR. BRAKE",4,"SCV125L, SCV125SL, SCV125SM, SCV125SN"
06455-KVT-911,"PAD SET, FR.",1,SCV100G8
06455-KWN-931,"PAD SET, FR.",2,"SCV110GA, SCV110GC"
06455-KYJ-711,"PAD SET, FR.",6,"CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
06455-KYJ-911,"PAD SET, FR.",3,"CBR250RAB, CBR250RAC, CBR250RAD"
06455-KYJ-912,"PAD SET, FR",2,"CBR250RAG, CBR250RAH"
06455-MGS-D32,"PAD SET, FR.",1,CB500XAM
06455-MJE-D02,"PAD SET, FR.",2,"CBR650FAG, CBR650FAJ"
06455-MJP-G52,"PAD SET, FR.",1,CRF1000DH
06455-MKK-D01,"PAD SET, FR.",8,"CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
06455-MKN-D51,"PAD SET, FR.",5,"CB650RAM, CB650RAN, CBR650RAL, CBR650RAM, CBR650RAN"
06460-KPL-305,"SHOE SET, RR. BRAKE (FR.)",1,SCV100CM2
06530-KEM-P00,"BALL SET, STEEL, #5X26",38,"NVB110H, SCV100F5, SCV100G8, SCV110FBL, SCV110FBR, SCV110FBS, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125E, SCV125FP, SCV125G, SCV125H, SCV125K, SCV125L, SCV125N, SCV125S, SCV125SJ, SCV125SK, SCV125T"
06531-KEM-P00,"BALL SET, STEEL, #8X19",54,"NVB110H, SCV100F5, SCV100G8, SCV110F, SCV110FBL, SCV110FBR, SCV110FBS, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125E, SCV125FP, SCV125G, SCV125H, SCV125K, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SJ, SCV125SK, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
06531-KW6-840,"BALL ASSY., STEEL, #8X18",134,"CB110AMF, CB110AMH, CB110BK, CB110C2F, CB110C2G, CB110C2H, CB110C2K, CB110C2MG, CB110C2MH, CB110C2MK, CB110C3MM, CB110CE, CB110CF, CB110CG, CB110CMDK, CB110CMDM, CB110CMDN, CB110CMDR, CB110CME, CB110CMF, CB110CMG, CB110CMH, CB110D, CB110E, CB110J, CB110MD, CB110ME, CB190XN, CB190XR, CB190XS, CBF110A, CBF110BEN, CBF110BER, CBF110BES, CBF110BK, CBF110BL, CBF110BN, CBF110C, CBF110E, CBF110G, CBF110H, CBF110J, CBF110MA, CBF110MC, CBF110ME, CBF110MSE, CBF110SBEN, CBF110SBER, CBF110SBES, CBF110SBK, CBF110SBL, CBF110SBN, CBF110SG, CBF110SH, CBF110SJ, CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125CL, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125L3, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MEFS, CBF125MEFT, CBF125MEN, CBF125MEP, CBF125MER, CBF125MFS, CBF125MG, CBF125MH, CBF125MJ/MK, CBF125ML, CBF125MN, CBF125MP, CBF125N, CBF125P, CBF125S, CBF125ZT, CBF1505, CBF1506, CBF1507, CBF150M5, CBF150M6, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK, CBF160AL, CBF160AR, CBF160AS, CBF160F, CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSN, CBF160FSR, CBF160FSS, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS, CBR150RC, CBR150RG, CD100RNP, CD100RNS, CD100RNT, NVA110BK"
06812-KPL-900,"BRACKET SET, SPARE TIRE",2,"SCV100CM2, SCV100CM5"
11000-MJE-D02,CRANKCASE SET,1,CBR650FAG
11000-MJE-DB0,CRANKCASE SET,1,CBR650FAJ
11000-MJP-DB0,CRANKCASE SET,1,CRF1000DH
11000-MKK-ER0,CRANKCASE SET,2,"CRF1000DJ, CRF1000DK"
11000-MKN-D10,CRANKCASE SET,1,CBR650RAL
11000-MKP-D80,CRANKCASE SET,1,CB500XAM
11000-MKS-D50,CRANKCASE SET,3,"CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11000-MKS-DD0,CRANKCASE SET,3,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N"
11000-MKY-D10,CRANKCASE SET,4,"CB650RAM, CB650RAN, CBR650RAM, CBR650RAN"
11100-K0A-DB0,"CRANKCASE COMP., R.",2,"CBF300NAN, CBF300NAR"
11100-K0L-D00,"CRANKCASE COMP., R.",10,"SCV125FP, SCV125L, SCV125SBR, SCV125SBT, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
11100-K0L-D60,"CRANKCASE COMP., R.",1,SCV125N
11100-K0L-DQ0,"CRANKCASE COMP., R",1,SCV125S
11100-K0N-D00,"CRANKCASE COMP., R.",8,"CBF125CL, CBF125L, CBF125L3, CBF125MEN, CBF125ML, CBF125MN, CBF125N, CBF125P"
11100-K0N-DJ0,"CRANKCASE COMP., R.",10,"CBF125MEFS, CBF125MEFT, CBF125MEP, CBF125MER, CBF125MFS, CBF125MP, CBF125P, CBF125S, CBF125T, CBF125ZT"
11100-K0P-D00,"CRANKCASE COMP., R",9,"SCV110FBL, SCV110FBR, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110LI, SCV110M, SCV110P/SR"
11100-K0P-DA0,"CRANKCASE COMP., R.",1,SCV110N
11100-K0Y-DR0,"CRANKCASE COMP., R.",4,"SCV110FBS, SCV110FS, SCV110S, SCV110T"
11100-K0Z-900,"CRANKCASE COMP., R.",4,"CB350DM, CB350DSM, CB350DSN, CB350RSM"
11100-K0Z-D10,"CRANKCASE COMP., R",6,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT"
11100-K14-900,"CRANKCASE COMP., R.",17,"CB110AMF, CB110AMH, CB110CE, CB110CF, CB110CG, CB110CME, CB110CMF, CB110CMG, CB110D, CB110E, CB110J, CB110MD, CB110ME, CBF110G, CBF110J, CBF110SG, CBF110SJ"
11100-K1C-A20,"CRANKCASE COMP., R.",4,"CBF110BER, CBF110BES, CBF110SBER, CBF110SBES"
11100-K1C-D00,"CRANKCASE COMP., R.",6,"CBF110BEN, CBF110BL, CBF110BN, CBF110SBEN, CBF110SBL, CBF110SBN"
11100-K1E-D00,"CRANKCASE COMP., R.",3,"CB110C3MM, CB110CMDM, CB110CMDN"
11100-K1E-DQ0,"CRANKCASE COMP., R.",1,CB110CMDR
11100-K1L-D00,"CRANKCASE COMP., R.",8,"CB190XN, CB190XR, CB190XS, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
11100-K24-900,"CRANKCASE COMP., R.",2,"SCV125E, SCV125G"
11100-K24-G00,"CRANKCASE COMP., R.",4,"SCV125H, SCV125K, SCV125SJ, SCV125SK"
11100-K2K-D00,"CRANKCASE COMP., R.",3,"MC300AN, MC300AP, MC300AS"
11100-K33-D00,"CRANKCASE COMP., R.",1,CBF300NAK
11100-K38-900,"CRANKCASE COMP., R.",14,"CBF160AL, CBF160AR, CBF160AS, CBF160F, CBF160FSJ, CBF160FSK, CBF160FSM, CBF160FSR, CBF160FSS, CBF160G, CBF160MAJ, CBF160MAK, CBF160MH, CBF160MJ"
11100-K3C-D10,"CRANKCASE COMP., R",2,"CD100RNP, CD100RNS"
11100-K3C-D30,"CRANKCASE COMP., R",1,CD100RNT
11100-K43-900,"CRANKCASE COMP., R.",3,"CBF160H, CBF160MG, CBF160MH"
11100-K55-900,"CRANKCASE COMP, R",10,"CB110AMH, CB110BK, CB110CMH, CB110J, CBF110BK, CBF110H, CBF110J, CBF110SBK, CBF110SH, CBF110SJ"
11100-K63-D00,"CRANKCASE COMP., R.",3,"CB110C2F, CB110C2G, CB110C2MG"
11100-K63-D30,"CRANKCASE COMP., R.",5,"CB110C2H, CB110C2K, CB110C2MH, CB110C2MK, CB110CMDK"
11100-KPL-900,"CRANKCASE COMP., R.",1,SCV100CM2
11100-KPP-900,"CRANKCASE COMP., R.",2,"CBR150RC, CBR150RG"
11100-KRB-900,"CRANKCASE COMP., R.",2,"SC1504, SC1505"
11100-KRP-900,"CRANKCASE COMP., R.",3,"SCV100CM5, SCV100F3, SCV100F5"
11100-KSP-860,"CRANKCASE COMP., R.",10,"CBF125C9, CBF125MA, CBF125MB, CBF125MC, CBF1507, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC"
11100-KSP-910,"CRANKCASE COMP., R.",6,"CBF125C9, CBF125MC9, CBF1505, CBF1506, CBF150M5, CBF150M6"
11100-KSP-970,"CRANKCASE COMP., R.",2,"CBF1507, CBF150M7"
11100-KTE-910,"CRANKCASE COMP., R.",2,"CBF1256, CBF125C9"
11100-KTE-930,"CRANKCASE COMP., R.",2,"CBF125C9, CBF125M7"
11100-KTE-A00,"CRANKCASE COMP., R.",6,"CBF125A, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125MCA"
11100-KTE-A20,"CRANKCASE COMP., R.",12,"CBF125BH, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK, CBF150MD, CBF150MH, CBF150MK"
11100-KVT-900,"CRANKCASE COMP., R.",3,"SCV100F9, SCV100FA, SCV100G8"
11100-KVT-G00,"CRANKCASE COMP., R.",16,"NVA110BK, NVA110H, NVA110K, NVB110H, SCV110FBK, SCV110FH, SCV110FK, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HH, SCV110HK, SCV110J, SCV110L"
11100-KWF-900,"CRANKCASE COMP., R.",3,"CBF1259, CBF125C9, CBF125M9/MF"
11100-KWP-900,"CRANKCASE COMP., R.",6,"SCV1109, SCV110B, SCV110FBC, SCV110FC, SCV110GA, SCV110GC"
11100-KWP-D00,"CRANKCASE COMP., R.",10,"SCV110D, SCV110E, SCV110FBH, SCV110FD, SCV110FF, SCV110FH, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF"
11100-KWP-D01,"CRANKCASE COMP., R.",11,"NVA110G, NVA110H, SCV110F, SCV110FBH, SCV110FD, SCV110FF, SCV110FH, SCV110G, SCV110HE, SCV110HF, SCV110HH"
11100-KWS-900,"CRANKCASE COMP., R.",4,"CBF110A, CBF110C, CBF110MA, CBF110MC"
11100-KWS-B00,"CRANKCASE COMP., R.",3,"CBF110E, CBF110ME, CBF110MSE"
11100-KYJ-900,"CRANKCASE COMP., R.",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
11102-GT8-B00,"BUSH, ENGINE HANGER RUBBER",5,"SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100G8"
11103-K0L-D00,"BUSH, ENGINE HANGER RUBBER",26,"SCV110FBL, SCV110FBR, SCV110FBS, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125FP, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
11103-K24-G00,"BUSH, ENGINE HANGER RUBBER",20,"NVA110BK, NVA110H, NVA110K, NVB110H, SCV110FBK, SCV110FH, SCV110FK, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125H, SCV125K, SCV125SJ, SCV125SK"
11103-KRB-900,"PLATE, OIL SEAL",2,"SC1504, SC1505"
11103-KWP-900,"BUSH, ENGINE HANGER RUBBER",25,"NVA110G, NVA110H, SCV1109, SCV110B, SCV110D, SCV110E, SCV110F, SCV110FBC, SCV110FBH, SCV110FC, SCV110FD, SCV110FF, SCV110FH, SCV110G, SCV110GA, SCV110GC, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110HE, SCV110HF, SCV110HH, SCV125E, SCV125G"
11103-MGZ-J00,"PIN, PARTITION",1,CB500XAM
11104-MJE-D00,"ORIFICE, 1.2MM",7,"CB650RAM, CB650RAN, CBR650FAG, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN"
11104-MJP-G50,"COLLAR, ENGINE HANGER",1,CRF1000DH
11104-MKK-ER0,"COLLAR, ENGINE HANGER",8,"CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11107-KYJ-900,"BOLT, SEALING, 16MM",15,"CBF300NAK, CBF300NAN, CBF300NAR, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
11108-KSP-910,"PLATE, L. BEARING SETTING",4,"CBF1505, CBF1506, CBF150M5, CBF150M6"
11108-KTT-900,"PLATE, L. BEARING SETTING",32,"CBF1256, CBF1259, CBF125A, CBF125BH, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125F, CBF125H, CBF125J/K, CBF125L, CBF125M7, CBF125M9/MF, CBF125MA, CBF125MB, CBF125MC, CBF125MC9, CBF125MCA, CBF125MCC, CBF125MG, CBF125MH, CBF125MJ/MK, CBF1507, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC, CBF150MD, CBF150MH, CBF150MK"
11109-K0A-DB0,"CAP, CRANKCASE",2,"CBF300NAN, CBF300NAR"
11110-K0Z-901,"VALVE COMP., REED",10,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DSM, CB350DSN, CB350RSM"
11133-K2K-D00,"ORIFICE, 1.5MM",3,"MC300AN, MC300AP, MC300AS"
11140-MGZ-J00,"JET COMP., OIL",1,CB500XAM
11140-MJP-G50,"JET COMP., OIL",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
11140-MKS-E00,"JET COMP., OIL",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11152-KS4-003,"CLAMP, PIPE",13,"CBF300NAK, CBF300NAN, CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR650FAG, CBR650FAJ, MC300AN, MC300AP, MC300AS"
11191-KRB-900,"GASKET, CRANKCASE",1,SC1504
11191-KRB-910,"GASKET, CRANKCASE",1,SC1505
11192-KPL-900,"GASKET, CRANKCASE",2,"SCV100CM2, SCV100F3"
11192-KRP-980,"GASKET, CRANKCASE",2,"SCV100CM5, SCV100F5"
11200-K0A-DB0,"CRANKCASE COMP., L.",2,"CBF300NAN, CBF300NAR"
11200-K0L-D00,"CRANKCASE COMP., L.",13,"SCV110FBL, SCV110FL, SCV110FM, SCV110FP, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV125L, SCV125N, SCV125SL, SCV125SM, SCV125SN"
11200-K0N-D00,"CRANKCASE COMP., L.",3,"CBF125MEN, CBF125ML, CBF125MN"
11200-K0N-DJ0,"CRANKCASE COMP., L.",10,"CBF125MEFS, CBF125MEFT, CBF125MEP, CBF125MER, CBF125MFS, CBF125MP, CBF125P, CBF125S, CBF125T, CBF125ZT"
11200-K0P-D60,"CRANKCASE COMP., L.",14,"SCV110FBR, SCV110FBS, SCV110FR, SCV110FS, SCV110P/SR, SCV110S, SCV110T, SCV125FP, SCV125S, SCV125SBR, SCV125SBT, SCV125SR, SCV125ST, SCV125T"
11200-K0V-A00,"CRANKCASE COMP., L.",5,"CBF125CL, CBF125L, CBF125L3, CBF125N, CBF125P"
11200-K0Z-900,"CRANKCASE COMP., L.",10,"CB350CR, CB350CS, CB350CSR, CB350CSS, CB350CST, CB350CT, CB350DM, CB350DSM, CB350DSN, CB350RSM"
11200-K14-900,"CRANKCASE COMP., L.",6,"CB110CE, CB110CF, CB110CG, CB110D, CB110E, CB110J"
11200-K14-910,"CRANKCASE COMP., L.",10,"CB110AMF, CB110AMH, CB110CME, CB110CMF, CB110CMG, CB110J, CB110MD, CB110ME, CBF110G, CBF110SG"
11200-K1C-D00,"CRANKCASE COMP., L.",10,"CBF110BEN, CBF110BER, CBF110BES, CBF110BL, CBF110BN, CBF110SBEN, CBF110SBER, CBF110SBES, CBF110SBL, CBF110SBN"
11200-K1E-D00,"CRANKCASE COMP., L.",3,"CB110C3MM, CB110CMDM, CB110CMDN"
11200-K1E-DQ0,"CRANKCASE COMP., L.",1,CB110CMDR
11200-K1K-D00,"CRANKCASE COMP., L.",6,"CBF160AL, CBF160AR, CBF160AS, CBF160FSM, CBF160FSR, CBF160FSS"
11200-K1L-D00,"CRANKCASE COMP., L.",8,"CB190XN, CB190XR, CB190XS, CBF190MAL, CBF190MAM, CBF190MAN, CBF190MAR, CBF190MAS"
11200-K24-901,"CRANKCASE COMP., L.",2,"SCV125E, SCV125G"
11200-K24-G00,"CRANKCASE COMP., L.",4,"SCV125H, SCV125K, SCV125SJ, SCV125SK"
11200-K2K-D00,"CRANKCASE COMP., L.",3,"MC300AN, MC300AP, MC300AS"
11200-K33-D00,"CRANKCASE COMP., L.",1,CBF300NAK
11200-K38-900,"CRANKCASE COMP., L.",10,"CBF160F, CBF160FSJ, CBF160FSK, CBF160G, CBF160H, CBF160MAJ, CBF160MAK, CBF160MG, CBF160MH, CBF160MJ"
11200-K3C-D10,"CRANKCASE COMP., L.",2,"CD100RNP, CD100RNS"
11200-K3C-D30,"CRANKCASE COMP., L.",1,CD100RNT
11200-K55-900,"CRANKCASE COMP, L",6,"CB110AMH, CB110BK, CB110CMH, CB110J, CBF110H, CBF110SH"
11200-K55-950,"CRANKCASE COMP., L",4,"CBF110BK, CBF110J, CBF110SBK, CBF110SJ"
11200-K63-D00,"CRANKCASE COMP., L.",3,"CB110C2F, CB110C2G, CB110C2MG"
11200-K63-D10,"CRANKCASE COMP., L",2,"CB110C2G, CB110C2MG"
11200-K63-D30,"CRANKCASE COMP., L.",2,"CB110C2H, CB110C2K"
11200-K63-D40,"CRANKCASE COMP., L.",3,"CB110C2MH, CB110C2MK, CB110CMDK"
11200-K67-900,"CRANKCASE COMP., L.",4,"CBF125MG, CBF125MH, CBF125MJ/MK, CBF150MK"
11200-KPL-900,"CRANKCASE COMP., L.",2,"SCV100CM2, SCV100F3"
11200-KPL-901,"CRANKCASE COMP., L.",2,"SCV100CM5, SCV100F5"
11200-KPL-902,"CRANKCASE COMP., L.",3,"SCV100F9, SCV100FA, SCV100G8"
11200-KPP-900,"CRANKCASE COMP., L.",2,"CBR150RC, CBR150RG"
11200-KRB-901,"CRANKCASE COMP., L.",1,SC1504
11200-KRB-902,"CRANKCASE COMP., L.",1,SC1505
11200-KSP-860,"CRANKCASE COMP., L.",10,"CBF125C9, CBF125MA, CBF125MB, CBF125MC, CBF1507, CBF150M7, CBF150M9, CBF150MA, CBF150MB, CBF150MC"
11200-KSP-911,"CRANKCASE COMP., L.",6,"CBF125C9, CBF125MC9, CBF1505, CBF1506, CBF150M5, CBF150M6"
11200-KSP-970,"CRANKCASE COMP., L.",2,"CBF1507, CBF150M7"
11200-KTE-910,"CRANKCASE COMP., L.",2,"CBF1256, CBF125C9"
11200-KTE-930,"CRANKCASE COMP., L.",2,"CBF125C9, CBF125M7"
11200-KTE-A00,"CRANKCASE COMP., L.",6,"CBF125A, CBF125C, CBF125C9, CBF125CA, CBF125CC, CBF125MCA"
11200-KTE-A20,"CRANKCASE COMP., L.",1,CBF125MCC
11200-KTE-A21,"CRANKCASE COMP., L.",3,"CBF125F, CBF150MD, CBF150MH"
11200-KTE-D00,"CRANKCASE COMP., L.",4,"CBF125BH, CBF125H, CBF125J/K, CBF125L"
11200-KVT-G00,"CRANKCASE COMP., L.",7,"NVA110H, NVB110H, SCV110FH, SCV110GFH, SCV110GH, SCV110H, SCV110HH"
11200-KWF-900,"CRANKCASE COMP., L.",3,"CBF1259, CBF125C9, CBF125M9/MF"
11200-KWP-900,"CRANKCASE COMP., L.",6,"SCV1109, SCV110B, SCV110FBC, SCV110FC, SCV110GA, SCV110GC"
11200-KWP-D00,"CRANKCASE COMP., L.",5,"SCV110D, SCV110E, SCV110FD, SCV110GD, SCV110GFD"
11200-KWP-D01,"CRANKCASE COMP., L.",12,"NVA110G, NVA110H, SCV110F, SCV110FBH, SCV110FF, SCV110FH, SCV110G, SCV110GF, SCV110GFF, SCV110HE, SCV110HF, SCV110HH"
11200-KWP-H00,"CRANKCASE COMP., L.",9,"NVA110BK, NVA110K, SCV110FBK, SCV110FK, SCV110GFK, SCV110GK, SCV110HK, SCV110J, SCV110L"
11200-KWP-H20,"CRANKCASE COMP., L.",4,"SCV110FBK, SCV110FK, SCV110J, SCV110L"
11200-KWS-901,"CRANKCASE COMP., L.",2,"CBF110A, CBF110C"
11200-KWS-911,"CRANKCASE COMP., L.",2,"CBF110MA, CBF110MC"
11200-KWS-B00,"CRANKCASE COMP., L.",1,CBF110E
11200-KWS-B10,"CRANKCASE COMP., L.",2,"CBF110ME, CBF110MSE"
11200-KYJ-900,"CRANKCASE COMP., L.",12,"CBR250RAB, CBR250RAC, CBR250RAD, CBR250RAG, CBR250RAH, CBR250RAJ, CBR250RB, CBR250RC, CBR250RD, CBR250RG, CBR250RH, CBR250RJ"
11203-GC7-300,"BUSH, RR. CUSHION UNDER RUBBER",16,"SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100G8, SCV1109, SCV110B, SCV110D, SCV110E, SCV110FBC, SCV110FC, SCV110FD, SCV110GA, SCV110GC, SCV110GD, SCV110GFD"
11203-K0L-D00,"BUSH, RR. CUSHION UNDER RUBBER",26,"SCV110FBL, SCV110FBR, SCV110FBS, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125FP, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
11203-K24-G00,"BUSH, RR. CUSHION UNDER RUBBER",20,"NVA110BK, NVA110H, NVA110K, NVB110H, SCV110FBK, SCV110FH, SCV110FK, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HH, SCV110HK, SCV110J, SCV110L, SCV125H, SCV125K, SCV125SJ, SCV125SK"
11203-KWP-D00,"BUSH, RR. CUSHION UNDER RUBBER",14,"NVA110G, NVA110H, SCV110F, SCV110FBH, SCV110FF, SCV110FH, SCV110G, SCV110GF, SCV110GFF, SCV110HE, SCV110HF, SCV110HH, SCV125E, SCV125G"
11204-GCC-000,"PLATE, OIL SEAL STOPPER",13,"SCV100CM2, SCV100CM5, SCV100F3, SCV100F5, SCV100F9, SCV100FA, SCV100G8, SCV1109, SCV110B, SCV110FBC, SCV110FC, SCV110GA, SCV110GC"
11204-K24-900,"PLATE, OIL SEAL STOPPER",6,"SCV125E, SCV125G, SCV125H, SCV125K, SCV125SJ, SCV125SK"
11204-KS4-300,"SLEEVE, RR. BRAKE CAM",2,"SC1504, SC1505"
11204-KWP-D00,"PLATE, OIL SEAL STOPPER",30,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H, SCV110D, SCV110E, SCV110F, SCV110FBH, SCV110FBK, SCV110FD, SCV110FF, SCV110FH, SCV110FK, SCV110G, SCV110GD, SCV110GF, SCV110GFD, SCV110GFF, SCV110GFH, SCV110GFK, SCV110GH, SCV110GK, SCV110H, SCV110HE, SCV110HF, SCV110HH, SCV110HK, SCV110J, SCV110L"
11205-GBC-300,"BUSH, MAIN STAND",26,"SCV110FBL, SCV110FBR, SCV110FBS, SCV110FL, SCV110FM, SCV110FP, SCV110FR, SCV110FS, SCV110LI, SCV110M, SCV110N, SCV110P/SR, SCV110S, SCV110T, SCV125FP, SCV125L, SCV125N, SCV125S, SCV125SBR, SCV125SBT, SCV125SL, SCV125SM, SCV125SN, SCV125SR, SCV125ST, SCV125T"
11206-MJP-G50,ORIFICE,9,"CRF1000DH, CRF1000DJ, CRF1000DK, CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11207-MJP-G50,"ORIFICE, 1.3MM",3,"CRF1000DH, CRF1000DJ, CRF1000DK"
11207-MKS-E00,"ORIFICE, 1.2MM",6,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11209-KRP-980,"CLAMPER, AIR CLEANER DRAIN",2,"SCV100F9, SCV100FA"
11209-KWP-900,"CLAMPER, AIR CLEANER DRAIN",3,"SCV1109, SCV110B, SCV110D"
11210-MJE-D00,"PAN, OIL",1,CBR650FAG
11210-MJE-DB0,"PAN, OIL",6,"CB650RAM, CB650RAN, CBR650FAJ, CBR650RAL, CBR650RAM, CBR650RAN"
11210-MJP-G81,"PAN COMP., OIL",1,CRF1000DH
11210-MJW-J80,"PAN, OIL",1,CB500XAM
11210-MKK-D00,"PAN COMP., OIL",3,"CRF1100AL2L, CRF1100AL2M, CRF1100AL2N"
11210-MKK-D50,"PAN COMP., OIL",5,"CRF1000DJ, CRF1000DK, CRF1100DL2L, CRF1100DL2M, CRF1100DL2N"
11211-K74-N00,"TUBE, BREATHER",5,"NVA110BK, NVA110G, NVA110H, NVA110K, NVB110H"
